WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	PEOPLE-NET DYNAMIC POOL I 	KYYIV 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	VISTA 	NONE 	NONE 	SAFARI 	5.0.3 	NONE 	SIBTRANSTELECOM PERSONAL CUSTOMER NETWORK 	NOT FOUND 	RU 	EA120AC2-C3CB-11E1-88AA-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	KYIVSTAR GSM 	KYIVSTAR GSM 	NOT FOUND 	UA 	72BD65C0-472A-11E1-8594-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	8.0 	NONE 	PARK TELECOM LTD 	NOT FOUND 	RU 	EA120AC2-C3CB-11E1-88AA-00163E0301C1 	SERCH 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	CJSC COMPANY ER-TELECOM SAMARA 	NOT FOUND 	RU 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	8.0.1 	INFOSTRADA IUNET 	INFOSTRADA IUNET 	PUGLIA 	IT 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	933E6DCC-D132-469C-9ACD-5BED15F36B9F 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	8.0.1 	INFOSTRADA IUNET 	INFOSTRADA IUNET 	PUGLIA 	IT 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
LINUX 	NONE 	ANDROID 	3.2.1 	SAFARI 	4.0 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	392A6956-DD27-11E0-A6F0-00163E0300C1 	NONE_REF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	JSC UKRTELECOM 	JSC UKRTELECOM 	POLTAVS'KA OBLAST' 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
NONE 	NONE 	IPAD 	X 	SAFARI 	5.0.2 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	B3F47800-9EFA-11DF-9D78-0015175ECAD8 	SERF 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	FREGAT 	DNIPROPETROVS'KA OBLAST' 	UA 	213210AE-B2DF-11E1-A75E-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	FIREFOX 	13.0.1 	NONE 	JSC UKRTELECOM 	NOT FOUND 	UA 	CFDFA062-EA8F-11E0-9837-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	VOLIA ISP 	VOLIA POLTAVA 	POLTAVS'KA OBLAST' 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	OPERA 	12.00 	DP KTV DYTYNETS 	SUBSIDIARY KTV OF CJSC TELERADIOCOMPANY DYTYNETS 	KYYIV 	UA 	A3CC06B0-63B2-11DF-8077-0015175ECAD8 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	MICROSOFT INTERNET EXPLORER 	9.0 	URAL TELEPHONE COMPANY 	ENGINEERICS LTD., EKATERINBURG 	NOT FOUND 	RU 	BD6EBB36-879F-11E1-B928-00163E0301C1 	SERF 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	COBWEB INTERNET 	MULTISERVICE NETWORKS LTD. 	NOT FOUND 	UA 	1795E9CC-61EA-11E0-84D0-00163E0300C1 	OTHER 	NIGHT
NONE 	NONE 	ANDROID 	NONE 	OPERA 	11.10 	TELIASONERA AB 	OPERA SOFTWARE ASA 	NOT FOUND 	PL 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
NONE 	NONE 	ANDROID 	NONE 	OPERA 	11.10 	TELIASONERA AB 	OPERA SOFTWARE ASA 	NOT FOUND 	PL 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
NONE 	NONE 	ANDROID 	NONE 	OPERA 	11.10 	TELIASONERA AB 	OPERA SOFTWARE ASA 	NOT FOUND 	PL 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
NONE 	NONE 	ANDROID 	NONE 	OPERA 	11.10 	TELIASONERA AB 	OPERA SOFTWARE ASA 	NOT FOUND 	PL 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	SERCH 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	OPERA 	12.00 	SPD LAUT V.A. 	MCLAUT ISP 	CHERKAS'KA OBLAST' 	UA 	29C77724-5E91-11E1-B26F-00163E0301C1 	OTHER 	NIGHT
WINDOWS 	XP 	NONE 	NONE 	CHROME 	20.0.1132.57 	JSC UKRTELECOM 	JSC UKRTELECOM 	NOT FOUND 	UA 	F87DEFCF-537B-11DF-8A55-0026220EB064 	OTHER 	NIGHT
WINDOWS 	7 	NONE 	NONE 	CHROME 	20.0.1132.57 	BIGTELECOM CLOSED JSC 	BIG TELECOM CLOSED JSC 	MOSCOW CITY 	RU 	B3F2CE12-CC1E-11E1-914C-00163E0300C1 	NONE_REF 	NIGHT
